iter	Logloss
0	0.6646577861
1	0.6396651713
2	0.6185562642
3	0.5987215474
4	0.5814354655
5	0.5648764242
6	0.5508362122
7	0.5379175313
8	0.526451711
9	0.5162318624
10	0.5076175639
11	0.4995428975
12	0.4921421
13	0.4856797384
14	0.4802579244
15	0.475534963
16	0.4708317362
17	0.4668155416
18	0.4630885315
19	0.4596236165
20	0.4565611369
21	0.4538424377
22	0.4514099935
23	0.4491427511
24	0.4468085531
25	0.4447560832
26	0.4430578817
27	0.4414789734
28	0.4398899638
29	0.438331543
30	0.4371380412
31	0.4361104736
32	0.4351366272
33	0.4340631205
34	0.4331089579
35	0.4321549174
36	0.4314126383
37	0.4306940613
38	0.4300866191
39	0.4295375163
40	0.4289450684
41	0.4283722229
42	0.4279000854
43	0.4276468302
44	0.4271612752
45	0.426647817
46	0.4262562154
47	0.4258589986
48	0.4254344788
49	0.4251032715
50	0.4247019145
51	0.4243748169
52	0.4240966899
53	0.4237520752
54	0.4233875529
55	0.4230272217
56	0.4227391663
57	0.4224351501
58	0.4222209473
59	0.4219289347
60	0.4216228536
61	0.4214084778
62	0.4211553243
63	0.4208985189
64	0.4206807861
65	0.4204177246
66	0.4202013143
67	0.4200056559
68	0.4197304789
69	0.4195222066
70	0.4192815145
71	0.4191717834
72	0.4189670919
73	0.418710378
74	0.4185062764
75	0.4182748617
76	0.4181434631
77	0.4179711202
78	0.4177209981
79	0.4174913432
80	0.4173990784
81	0.4172178141
82	0.4169984334
83	0.416879069
84	0.4167577209
85	0.416546875
86	0.4162764587
87	0.4161773987
88	0.4160499674
89	0.4158313395
90	0.4157326558
91	0.4156358236
92	0.415479777
93	0.4153595785
94	0.4152131856
95	0.4150506185
96	0.4149352519
97	0.4148182983
98	0.4145429891
99	0.4144121501
100	0.4142973124
101	0.4141313883
102	0.4140074463
103	0.4138947144
104	0.4137880656
105	0.4136327006
106	0.41342512
107	0.4132817891
108	0.4131365356
109	0.4130371297
110	0.4129418132
111	0.4127513631
112	0.4125866801
113	0.4124283447
114	0.4122979533
115	0.4121829122
116	0.4120027161
117	0.4118979289
118	0.4117935486
119	0.4116539307
120	0.4115134888
121	0.4113723653
122	0.4112019958
123	0.4111097412
124	0.4110409139
125	0.4108246765
126	0.4106783956
127	0.4105818583
128	0.4104835917
129	0.4102623189
130	0.4101553955
131	0.4100044556
132	0.4099126994
133	0.409814209
134	0.4096762594
135	0.4095264486
136	0.4093739929
137	0.4092608236
138	0.409122762
139	0.408988505
140	0.4088505758
141	0.4086825663
142	0.4085686035
143	0.4085134989
144	0.4083858337
145	0.4082628581
146	0.4081585592
147	0.4080649516
148	0.4079880778
149	0.4078626811
