iter	Passed	Remaining
0	180	26943
1	198	14656
2	213	10484
3	232	8493
4	251	7291
5	268	6446
6	285	5828
7	297	5280
8	309	4854
9	321	4501
10	333	4212
11	345	3970
12	356	3761
13	368	3584
14	380	3426
15	392	3284
16	407	3189
17	421	3093
18	437	3018
19	454	2953
20	469	2885
21	489	2846
22	508	2808
23	521	2737
24	532	2664
25	546	2607
26	558	2545
27	570	2486
28	582	2429
29	594	2378
30	606	2327
31	618	2279
32	631	2239
33	649	2214
34	665	2187
35	682	2161
36	698	2133
37	715	2108
38	736	2094
39	752	2069
40	768	2043
41	783	2013
42	795	1979
43	802	1933
44	814	1900
45	827	1870
46	839	1840
47	851	1809
48	864	1781
49	876	1752
50	887	1722
51	901	1698
52	917	1679
53	936	1664
54	955	1650
55	971	1631
56	984	1605
57	998	1583
58	1010	1557
59	1022	1533
60	1036	1512
61	1047	1487
62	1060	1464
63	1072	1441
64	1084	1418
65	1096	1396
66	1108	1372
67	1123	1355
68	1140	1338
69	1157	1322
70	1178	1311
71	1190	1289
72	1202	1268
73	1214	1247
74	1225	1225
75	1238	1205
76	1250	1185
77	1261	1164
78	1273	1144
79	1285	1124
80	1296	1104
81	1308	1085
82	1324	1068
83	1341	1054
84	1356	1037
85	1375	1023
86	1388	1005
87	1399	985
88	1410	967
89	1422	948
90	1434	929
91	1445	911
92	1457	893
93	1468	875
94	1481	857
95	1493	840
96	1504	822
97	1516	804
98	1529	787
99	1540	770
100	1551	752
101	1564	736
102	1576	719
103	1587	702
104	1599	685
105	1611	668
106	1623	652
107	1635	636
108	1646	619
109	1660	603
110	1673	587
111	1685	571
112	1697	555
113	1709	539
114	1720	523
115	1733	508
116	1745	492
117	1757	476
118	1771	461
119	1786	446
120	1809	433
121	1829	419
122	1841	404
123	1852	388
124	1864	372
125	1876	357
126	1889	342
127	1900	326
128	1911	311
129	1924	296
130	1936	280
131	1949	265
132	1961	250
133	1974	235
134	1986	220
135	1999	205
136	2011	190
137	2023	175
138	2034	161
139	2046	146
140	2059	131
141	2070	116
142	2083	101
143	2094	87
144	2106	72
145	2118	58
146	2129	43
147	2141	28
148	2153	14
149	2165	0
