LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT1,PAY_AMT2,PAY_AMT3,default
175000.0,2,2,2,22,-1,0,0,155227.0,149656.0,149516.0,22217.0,21420.0,21400.0,0
10000.0,2,2,2,56,3,3,-1,1672.0,1450.0,1473.0,376.0,326.0,331.0,1
25000.0,1,1,2,61,2,3,1,19613.0,19990.0,18584.0,4407.0,4492.0,4176.0,1
140000.0,1,2,2,30,3,1,1,53717.0,53354.0,46154.0,4215.0,4186.0,3621.0,1
100000.0,2,1,2,61,0,0,3,59739.0,55340.0,51792.0,10745.0,9954.0,9316.0,1
35000.0,2,2,2,39,1,2,-1,33873.0,28700.0,29158.0,7610.0,6448.0,6551.0,0
45000.0,1,1,2,25,2,0,1,34757.0,27808.0,23153.0,7684.0,6147.0,5118.0,1
170000.0,1,2,2,26,1,3,0,119983.0,102791.0,90368.0,20140.0,17255.0,15169.0,1
330000.0,2,1,1,22,2,0,0,295392.0,262146.0,255511.0,14213.0,12613.0,12294.0,1
65000.0,2,2,1,44,1,0,1,37745.0,30258.0,31726.0,7799.0,6252.0,6555.0,0
130000.0,2,1,2,56,0,3,-1,138294.0,112679.0,108675.0,23341.0,19018.0,18342.0,1
100000.0,1,3,2,22,1,-1,3,115627.0,118570.0,123006.0,12297.0,12610.0,13082.0,1
230000.0,2,2,2,69,1,1,2,83978.0,73429.0,67907.0,13578.0,11872.0,10980.0,1
145000.0,2,1,3,50,-1,2,0,125707.0,122462.0,98048.0,20363.0,19837.0,15882.0,0
115000.0,2,2,1,59,1,2,2,46273.0,41789.0,33712.0,1979.0,1787.0,1442.0,1
50000.0,2,2,2,64,-1,0,-1,23927.0,20797.0,20359.0,6034.0,5245.0,5134.0,0
120000.0,1,4,3,44,-1,1,1,69654.0,67388.0,64393.0,13165.0,12736.0,12170.0,0
165000.0,1,3,2,23,-1,0,0,53068.0,51857.0,44434.0,11398.0,11138.0,9544.0,0
40000.0,1,2,2,21,1,0,3,43052.0,39868.0,38720.0,2337.0,2164.0,2102.0,0
70000.0,1,3,3,33,0,-1,0,52945.0,55381.0,47593.0,9648.0,10092.0,8673.0,1
325000.0,2,2,1,61,2,-1,0,358801.0,306520.0,256233.0,101707.0,86887.0,72633.0,0
140000.0,2,2,1,29,0,-1,0,141139.0,140200.0,143452.0,30453.0,30250.0,30952.0,1
45000.0,2,1,2,41,2,1,2,27442.0,22749.0,18319.0,6206.0,5144.0,4143.0,1
35000.0,2,1,2,60,0,0,1,10780.0,10452.0,10018.0,3014.0,2922.0,2801.0,1
55000.0,2,3,2,36,0,0,1,26648.0,21548.0,22512.0,4633.0,3747.0,3914.0,1
85000.0,2,2,2,68,0,-1,0,42821.0,40846.0,36634.0,5409.0,5160.0,4628.0,0
205000.0,2,2,2,48,1,-1,1,175354.0,165760.0,168934.0,51245.0,48441.0,49368.0,0
180000.0,1,1,1,58,0,0,1,122697.0,108216.0,99891.0,29045.0,25617.0,23646.0,0
60000.0,2,1,1,67,2,-1,0,13680.0,14030.0,12039.0,1308.0,1341.0,1151.0,1
195000.0,1,2,1,57,0,1,0,27507.0,24125.0,23320.0,2542.0,2229.0,2155.0,0
80000.0,1,1,2,65,0,1,0,45555.0,40382.0,33035.0,9757.0,8649.0,7075.0,1
165000.0,2,2,2,38,-1,2,0,121985.0,123655.0,102057.0,30255.0,30669.0,25312.0,0
260000.0,2,3,2,30,0,-1,3,183046.0,184990.0,157433.0,36267.0,36652.0,31192.0,1
50000.0,2,2,1,53,0,0,-1,32261.0,31416.0,28894.0,6005.0,5848.0,5379.0,0
70000.0,2,4,1,42,3,3,2,46417.0,41480.0,42938.0,12114.0,10825.0,11206.0,1
45000.0,2,3,2,68,1,-1,-1,53857.0,51508.0,53052.0,7467.0,7141.0,7355.0,1
190000.0,1,3,2,62,2,0,2,156415.0,146825.0,129965.0,22042.0,20691.0,18315.0,1
345000.0,2,2,2,56,-1,1,0,259593.0,270311.0,217873.0,42964.0,44738.0,36059.0,1
250000.0,1,2,2,40,3,0,2,123252.0,105452.0,94913.0,24990.0,21381.0,19244.0,1
400000.0,2,4,2,43,1,1,1,69315.0,70656.0,57838.0,12283.0,12521.0,10249.0,1
65000.0,2,1,2,47,0,1,3,60637.0,58210.0,46938.0,14899.0,14303.0,11533.0,1
45000.0,1,1,1,26,0,-1,-1,9690.0,8071.0,7760.0,2026.0,1688.0,1622.0,0
385000.0,1,1,2,33,-1,0,0,145365.0,118260.0,98446.0,7901.0,6428.0,5351.0,0
65000.0,1,1,2,53,0,-1,0,29744.0,26191.0,21914.0,4138.0,3643.0,3048.0,0
35000.0,1,2,1,48,-1,0,0,12429.0,10922.0,10592.0,3464.0,3044.0,2952.0,0
15000.0,2,2,1,22,-1,-1,0,7206.0,5831.0,5658.0,1471.0,1190.0,1155.0,1
95000.0,2,2,2,65,2,0,-1,33390.0,29249.0,27693.0,5008.0,4387.0,4154.0,0
235000.0,2,2,1,32,2,0,-1,105517.0,101462.0,100053.0,7203.0,6926.0,6830.0,1
75000.0,2,2,1,32,-1,1,-1,78105.0,79511.0,69901.0,21449.0,21835.0,19196.0,0
20000.0,2,2,1,50,-1,1,-1,4226.0,4298.0,3675.0,1233.0,1254.0,1072.0,0
180000.0,2,2,1,52,0,0,2,189553.0,158182.0,127080.0,36986.0,30865.0,24796.0,0
45000.0,1,2,1,62,-1,3,1,38875.0,38391.0,38055.0,5872.0,5799.0,5748.0,1
135000.0,2,1,2,54,-1,1,0,80654.0,82941.0,66826.0,15890.0,16340.0,13165.0,1
140000.0,2,1,1,33,1,-1,2,32569.0,33517.0,31929.0,1928.0,1984.0,1890.0,1
335000.0,2,2,1,34,-1,0,3,196013.0,178661.0,162234.0,28295.0,25790.0,23419.0,0
115000.0,1,1,2,33,2,0,-1,36731.0,38084.0,31638.0,7107.0,7368.0,6121.0,1
120000.0,1,2,2,56,2,0,0,37496.0,32655.0,32467.0,4167.0,3629.0,3608.0,0
145000.0,2,3,2,45,0,0,-1,153047.0,124924.0,128002.0,42454.0,34653.0,35507.0,0
